"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","se","Region"
14,0.621175845786953,0.0265533423257563,0.567487018722333,0.671701878406347,1.00187846499682,1700,2016,"MM.p.uw",NA,"Africa"
15,0.575743719411485,0.0273218106235934,0.522292967720264,0.628023751520872,1.00075666355949,4500,2017,"MM.p.uw",NA,"Africa"
16,0.543902415190627,0.0234259756114986,0.496829295499925,0.588883050054628,1.0033665443602,740,2018,"MM.p.uw",NA,"Africa"
17,0.413568151869472,0.0270051404866457,0.359637085994361,0.466090095000205,1.00129380605436,3200,2019,"MM.p.uw",NA,"Africa"
1,0.334620597937305,0.036171074417098,0.267569675015455,0.409785550015497,1.00080549887606,4500,2003,"MM.p.w",NA,"Africa"
2,0.365378353213293,0.0323157778084475,0.306289847879716,0.43285323765047,1.00175530511277,1800,2004,"MM.p.w",NA,"Africa"
3,0.410069684820015,0.0405043256816035,0.330760849867435,0.488686614880366,1.00161536016928,2100,2005,"MM.p.w",NA,"Africa"
4,0.473013821265401,0.0345544770450116,0.402988396976266,0.537646295939763,1.00300207165878,860,2006,"MM.p.w",NA,"Africa"
5,0.441192454052704,0.0337387069934668,0.375875170010637,0.51088530162513,1.0007648579228,4500,2007,"MM.p.w",NA,"Africa"
6,0.486119227878457,0.032771985091506,0.427731607595637,0.552152244370209,1.00123006307694,3500,2008,"MM.p.w",NA,"Africa"
7,0.447146976541873,0.0346772813480121,0.379129371840662,0.514251725157239,1.00066680449569,4500,2009,"MM.p.w",NA,"Africa"
8,0.535467145672322,0.0245741149051784,0.486575146211725,0.582271950535655,1.0032614786154,770,2010,"MM.p.w",NA,"Africa"
9,0.674245227079005,0.0166071677754637,0.640840773259314,0.705390117359542,1.00688584556431,320,2011,"MM.p.w",NA,"Africa"
10,0.583125642050046,0.0155296049092245,0.55196265326516,0.612458862982085,1.00599916138684,380,2012,"MM.p.w",NA,"Africa"
11,0.520050037282481,0.0183099802430262,0.482737790389848,0.5536869576916,1.00102979573946,4500,2013,"MM.p.w",NA,"Africa"
12,0.56247313480063,0.0176034638329402,0.526693253740409,0.596379545325024,1.0055361904526,410,2014,"MM.p.w",NA,"Africa"
13,0.558449189732911,0.0169373577161311,0.523341030121682,0.590317259158209,1.00341233912386,730,2015,"MM.p.w",NA,"Africa"
14,0.460725879558442,0.0176985881326149,0.42493794108767,0.494261355751327,1.00110675278761,4500,2016,"MM.p.w",NA,"Africa"
15,0.43688941070696,0.0188116241661932,0.399611305678989,0.473661494196926,1.00141703237224,2700,2017,"MM.p.w",NA,"Africa"
16,0.441753318192143,0.0170041587311804,0.408001712412038,0.475112036187341,1.00338310867224,740,2018,"MM.p.w",NA,"Africa"
17,0.303830692643508,0.0169233574448059,0.27158275692328,0.337485924082241,1.00370024782836,660,2019,"MM.p.w",NA,"Africa"
1,0.378627968337731,NA,NA,NA,NA,NA,2003,"Observed",NA,"Africa"
2,0.490438695163105,NA,NA,NA,NA,NA,2004,"Observed",NA,"Africa"
3,0.370619946091644,NA,NA,NA,NA,NA,2005,"Observed",NA,"Africa"
4,0.343878954607978,NA,NA,NA,NA,NA,2006,"Observed",NA,"Africa"
5,0.49375,NA,NA,NA,NA,NA,2007,"Observed",NA,"Africa"
6,0.508844953173777,NA,NA,NA,NA,NA,2008,"Observed",NA,"Africa"
7,0.339506172839506,NA,NA,NA,NA,NA,2009,"Observed",NA,"Africa"
8,0.569679849340866,NA,NA,NA,NA,NA,2010,"Observed",NA,"Africa"
9,0.694903581267218,NA,NA,NA,NA,NA,2011,"Observed",NA,"Africa"
10,0.557446808510638,NA,NA,NA,NA,NA,2012,"Observed",NA,"Africa"
11,0.528405201916496,NA,NA,NA,NA,NA,2013,"Observed",NA,"Africa"
12,0.540428472702142,NA,NA,NA,NA,NA,2014,"Observed",NA,"Africa"
13,0.539787798408488,NA,NA,NA,NA,NA,2015,"Observed",NA,"Africa"
14,0.483646485734168,NA,NA,NA,NA,NA,2016,"Observed",NA,"Africa"
15,0.414663461538462,NA,NA,NA,NA,NA,2017,"Observed",NA,"Africa"
16,0.428785607196402,NA,NA,NA,NA,NA,2018,"Observed",NA,"Africa"
17,0.253477588871716,NA,NA,NA,NA,NA,2019,"Observed",NA,"Africa"
1,0.404303638,NA,0.30233378148,0.50627349452,NA,NA,2003,"LSMeans",0.052025437,"Africa"
2,0.47442244,NA,0.3799457262,0.5688991538,NA,NA,2004,"LSMeans",0.048202405,"Africa"
3,0.389686336,NA,0.2865536252,0.4928190468,NA,NA,2005,"LSMeans",0.05261873,"Africa"
4,0.391461417,NA,0.28713706344,0.49578577056,NA,NA,2006,"LSMeans",0.053226711,"Africa"
5,0.523964995,NA,0.42454384408,0.62338614592,NA,NA,2007,"LSMeans",0.050725077,"Africa"
6,0.555112023,NA,0.46424582716,0.64597821884,NA,NA,2008,"LSMeans",0.046360304,"Africa"
7,0.442008182,NA,0.36218850892,0.52182785508,NA,NA,2009,"LSMeans",0.040724323,"Africa"
8,0.648929539,NA,0.56223116556,0.73562791244,NA,NA,2010,"LSMeans",0.044233864,"Africa"
9,0.76578537,NA,0.69033550908,0.84123523092,NA,NA,2011,"LSMeans",0.038494827,"Africa"
10,0.672305754,NA,0.60505792076,0.73955358724,NA,NA,2012,"LSMeans",0.034310119,"Africa"
11,0.641662411,NA,0.56624598572,0.71707883628,NA,NA,2013,"LSMeans",0.038477768,"Africa"
12,0.634793135,NA,0.56010002812,0.70948624188,NA,NA,2014,"LSMeans",0.038108728,"Africa"
13,0.617325751,NA,0.54508784596,0.68956365604,NA,NA,2015,"LSMeans",0.036856074,"Africa"
14,0.568043937,NA,0.49247559016,0.64361228384,NA,NA,2016,"LSMeans",0.038555279,"Africa"
15,0.523270233,NA,0.45207421888,0.59446624712,NA,NA,2017,"LSMeans",0.036324497,"Africa"
16,0.53576764,NA,0.45532747208,0.61620780792,NA,NA,2018,"LSMeans",0.041040902,"Africa"
17,0.377651858,NA,0.29359638776,0.46170732824,NA,NA,2019,"LSMeans",0.042885444,"Africa"
1,0.696498054474708,NA,NA,NA,NA,NA,2003,"Observed",NA,"Central Africa"
1,0.240131578947368,NA,NA,NA,NA,NA,2003,"Observed",NA,"Eastern Africa"
1,0.144508670520231,NA,NA,NA,NA,NA,2003,"Observed",NA,"Southern Africa"
1,0.416666666666667,NA,NA,NA,NA,NA,2003,"Observed",NA,"West Africa"
2,0.723716381418093,NA,NA,NA,NA,NA,2004,"Observed",NA,"Central Africa"
2,0.405529953917051,NA,NA,NA,NA,NA,2004,"Observed",NA,"Eastern Africa"
2,0.147321428571429,NA,NA,NA,NA,NA,2004,"Observed",NA,"Southern Africa"
2,0.487179487179487,NA,NA,NA,NA,NA,2004,"Observed",NA,"West Africa"
3,0.470149253731343,NA,NA,NA,NA,NA,2005,"Observed",NA,"Central Africa"
3,0.322033898305085,NA,NA,NA,NA,NA,2005,"Observed",NA,"Eastern Africa"
3,0.290123456790123,NA,NA,NA,NA,NA,2005,"Observed",NA,"Southern Africa"
3,0.411764705882353,NA,NA,NA,NA,NA,2005,"Observed",NA,"West Africa"
4,0.396396396396396,NA,NA,NA,NA,NA,2006,"Observed",NA,"Central Africa"
4,0.421602787456446,NA,NA,NA,NA,NA,2006,"Observed",NA,"Eastern Africa"
4,0.183962264150943,NA,NA,NA,NA,NA,2006,"Observed",NA,"Southern Africa"
4,0.333333333333333,NA,NA,NA,NA,NA,2006,"Observed",NA,"West Africa"
5,0.777777777777778,NA,NA,NA,NA,NA,2007,"Observed",NA,"West Africa"
5,0.816849816849817,NA,NA,NA,NA,NA,2007,"Observed",NA,"Central Africa"
5,0.385665529010239,NA,NA,NA,NA,NA,2007,"Observed",NA,"Eastern Africa"
5,0.208333333333333,NA,NA,NA,NA,NA,2007,"Observed",NA,"Southern Africa"
6,0.810077519379845,NA,NA,NA,NA,NA,2008,"Observed",NA,"Central Africa"
6,0.456179775280899,NA,NA,NA,NA,NA,2008,"Observed",NA,"Eastern Africa"
6,0.195454545454545,NA,NA,NA,NA,NA,2008,"Observed",NA,"Southern Africa"
6,0.894736842105263,NA,NA,NA,NA,NA,2008,"Observed",NA,"West Africa"
7,0.717741935483871,NA,NA,NA,NA,NA,2009,"Observed",NA,"Central Africa"
7,0.264492753623188,NA,NA,NA,NA,NA,2009,"Observed",NA,"Eastern Africa"
7,0.298969072164948,NA,NA,NA,NA,NA,2009,"Observed",NA,"Southern Africa"
7,0.849056603773585,NA,NA,NA,NA,NA,2009,"Observed",NA,"West Africa"
8,0.835294117647059,NA,NA,NA,NA,NA,2010,"Observed",NA,"Central Africa"
8,0.550774526678141,NA,NA,NA,NA,NA,2010,"Observed",NA,"Eastern Africa"
8,0.519685039370079,NA,NA,NA,NA,NA,2010,"Observed",NA,"Southern Africa"
8,0.192982456140351,NA,NA,NA,NA,NA,2010,"Observed",NA,"West Africa"
9,0.593548387096774,NA,NA,NA,NA,NA,2011,"Observed",NA,"Southern Africa"
9,0.681818181818182,NA,NA,NA,NA,NA,2011,"Observed",NA,"West Africa"
9,0.877622377622378,NA,NA,NA,NA,NA,2011,"Observed",NA,"Central Africa"
9,0.669950738916256,NA,NA,NA,NA,NA,2011,"Observed",NA,"Eastern Africa"
10,0.866666666666667,NA,NA,NA,NA,NA,2012,"Observed",NA,"Central Africa"
10,0.615384615384615,NA,NA,NA,NA,NA,2012,"Observed",NA,"Eastern Africa"
10,0.368045649072753,NA,NA,NA,NA,NA,2012,"Observed",NA,"Southern Africa"
10,0.868852459016393,NA,NA,NA,NA,NA,2012,"Observed",NA,"West Africa"
11,0.726027397260274,NA,NA,NA,NA,NA,2013,"Observed",NA,"Central Africa"
11,0.584093872229465,NA,NA,NA,NA,NA,2013,"Observed",NA,"Eastern Africa"
11,0.376,NA,NA,NA,NA,NA,2013,"Observed",NA,"Southern Africa"
11,0.625,NA,NA,NA,NA,NA,2013,"Observed",NA,"West Africa"
12,0.872427983539095,NA,NA,NA,NA,NA,2014,"Observed",NA,"Central Africa"
12,0.523281596452328,NA,NA,NA,NA,NA,2014,"Observed",NA,"Eastern Africa"
12,0.389805097451274,NA,NA,NA,NA,NA,2014,"Observed",NA,"Southern Africa"
12,0.86046511627907,NA,NA,NA,NA,NA,2014,"Observed",NA,"West Africa"
13,0.491666666666667,NA,NA,NA,NA,NA,2015,"Observed",NA,"Eastern Africa"
13,0.364516129032258,NA,NA,NA,NA,NA,2015,"Observed",NA,"Southern Africa"
13,0.895287958115183,NA,NA,NA,NA,NA,2015,"Observed",NA,"West Africa"
13,0.834101382488479,NA,NA,NA,NA,NA,2015,"Observed",NA,"Central Africa"
14,0.811244979919679,NA,NA,NA,NA,NA,2016,"Observed",NA,"Central Africa"
14,0.350348027842227,NA,NA,NA,NA,NA,2016,"Observed",NA,"Eastern Africa"
14,0.400295420974889,NA,NA,NA,NA,NA,2016,"Observed",NA,"Southern Africa"
14,0.8875,NA,NA,NA,NA,NA,2016,"Observed",NA,"West Africa"
15,0.7,NA,NA,NA,NA,NA,2017,"Observed",NA,"Central Africa"
15,0.238286479250335,NA,NA,NA,NA,NA,2017,"Observed",NA,"Eastern Africa"
15,0.5,NA,NA,NA,NA,NA,2017,"Observed",NA,"Southern Africa"
15,0.731707317073171,NA,NA,NA,NA,NA,2017,"Observed",NA,"West Africa"
16,0.776470588235294,NA,NA,NA,NA,NA,2018,"Observed",NA,"Central Africa"
16,0.341304347826087,NA,NA,NA,NA,NA,2018,"Observed",NA,"Eastern Africa"
16,0.401550387596899,NA,NA,NA,NA,NA,2018,"Observed",NA,"Southern Africa"
16,0.406779661016949,NA,NA,NA,NA,NA,2018,"Observed",NA,"West Africa"
17,0.734375,NA,NA,NA,NA,NA,2019,"Observed",NA,"Central Africa"
17,0.263403263403263,NA,NA,NA,NA,NA,2019,"Observed",NA,"Eastern Africa"
17,0.155714285714286,NA,NA,NA,NA,NA,2019,"Observed",NA,"Southern Africa"
17,0.324324324324324,NA,NA,NA,NA,NA,2019,"Observed",NA,"West Africa"
1,0.539275650550188,0.0500081610495582,0.444518530651792,0.636581465131257,1.00160523556187,2100,2003,"MM.p.uw",NA,"Central Africa"
2,0.563866409553996,0.0480267010438692,0.472086719155066,0.660753268546238,1.00074639968606,4500,2004,"MM.p.uw",NA,"Central Africa"
3,0.466297367779424,0.0585792208681526,0.355057006489235,0.585281534116858,1.00129691685489,3200,2005,"MM.p.uw",NA,"Central Africa"
4,0.40256782234458,0.0708875900005947,0.263541111131398,0.53849469708974,1.00237322162639,1200,2006,"MM.p.uw",NA,"Central Africa"
5,0.549589164244944,0.0654588580167897,0.419672921365339,0.679283049947614,1.00278891691268,940,2007,"MM.p.uw",NA,"Central Africa"
6,0.660643001009378,0.0400839244349284,0.579546411267871,0.737157833639157,1.00096733794133,4500,2008,"MM.p.uw",NA,"Central Africa"
7,0.667602663745084,0.0512049302768162,0.565589350823239,0.766698959343524,1.00103438719247,4500,2009,"MM.p.uw",NA,"Central Africa"
8,0.66322774065384,0.0434767808851699,0.576647630581044,0.748471609326991,1.00102588393663,4500,2010,"MM.p.uw",NA,"Central Africa"
9,0.763944417546082,0.0321748433563928,0.694301669977256,0.821712583241354,1.00552140486794,410,2011,"MM.p.uw",NA,"Central Africa"
10,0.801818833908027,0.031023788533868,0.731765112243219,0.854699995035895,1.00563064804483,410,2012,"MM.p.uw",NA,"Central Africa"
11,0.74883873832,0.045261712153338,0.655982080821672,0.827043207070915,1.00082454501107,4500,2013,"MM.p.uw",NA,"Central Africa"
12,0.816780904961895,0.0344866022872461,0.73874355628489,0.872068033784646,1.00786211934785,280,2014,"MM.p.uw",NA,"Central Africa"
13,0.802540482181807,0.053946628661111,0.683788708400366,0.889962495733388,1.00150310652147,2400,2015,"MM.p.uw",NA,"Central Africa"
14,0.769621127448976,0.0551149018464284,0.644527199058651,0.857485478599423,1.00085099494765,4500,2016,"MM.p.uw",NA,"Central Africa"
15,0.702793106854833,0.0585147320975777,0.572108345247317,0.802348267913537,1.0010014578869,4500,2017,"MM.p.uw",NA,"Central Africa"
16,0.788474817063583,0.0514317404555903,0.67258037401027,0.869491449269594,1.00180366554211,1800,2018,"MM.p.uw",NA,"Central Africa"
17,0.678894153160418,0.0780056787113964,0.505944984600264,0.812696298012969,1.00116167688611,4000,2019,"MM.p.uw",NA,"Central Africa"
1,0.337422260221498,0.0495849407095301,0.244058331152034,0.437297546169116,1.00349333847837,710,2003,"MM.p.uw",NA,"Eastern Africa"
2,0.419234126886982,0.0456225728320709,0.330330843217463,0.511261842334536,1.00215999879283,1300,2004,"MM.p.uw",NA,"Eastern Africa"
3,0.341385636033859,0.0466991896906121,0.251891914668115,0.434183145322285,1.00074696857063,4500,2005,"MM.p.uw",NA,"Eastern Africa"
4,0.507703216401108,0.0455526163535229,0.418327454094454,0.594193824110842,1.00316672559574,800,2006,"MM.p.uw",NA,"Eastern Africa"
5,0.370703039366078,0.049009375472896,0.276090476658047,0.467678549368028,1.00117391458291,3900,2007,"MM.p.uw",NA,"Eastern Africa"
6,0.453947612059193,0.0468682664056771,0.361603540735249,0.543909837286729,1.0008680342969,4500,2008,"MM.p.uw",NA,"Eastern Africa"
7,0.403509324824461,0.0433803226525612,0.32085521284459,0.488411088123181,1.00161076558341,2100,2009,"MM.p.uw",NA,"Eastern Africa"
8,0.549032405466606,0.0371147880757846,0.476744266541125,0.621522268831095,1.00081058423207,4500,2010,"MM.p.uw",NA,"Eastern Africa"
9,0.707701924440831,0.0275022580124911,0.650599741597095,0.760635181489495,1.00074390544026,4500,2011,"MM.p.uw",NA,"Eastern Africa"
10,0.589454751311336,0.0256936978256299,0.538596934280593,0.639021295335675,1.00299129023313,860,2012,"MM.p.uw",NA,"Eastern Africa"
11,0.603111654121396,0.0309665934452186,0.54121600469189,0.663324021595818,1.00137374574683,2800,2013,"MM.p.uw",NA,"Eastern Africa"
12,0.55930104814468,0.0361889935097087,0.488946307273078,0.630091746444081,1.00069881770594,4500,2014,"MM.p.uw",NA,"Eastern Africa"
13,0.536220334448483,0.0362583414878473,0.46638370511926,0.606787723075596,1.00229916687924,1200,2015,"MM.p.uw",NA,"Eastern Africa"
14,0.425061995274561,0.0381712683910924,0.351867683497703,0.500664896336807,1.00109192688868,4500,2016,"MM.p.uw",NA,"Eastern Africa"
15,0.368161808687361,0.0373329027930159,0.297194351651985,0.441609021213986,1.00093314623611,4500,2017,"MM.p.uw",NA,"Eastern Africa"
16,0.435632965226356,0.0320868628793069,0.37312070189419,0.499901612889975,1.00103676751633,4500,2018,"MM.p.uw",NA,"Eastern Africa"
17,0.284037285606932,0.0339297120944975,0.222571200661808,0.352266497740325,1.00099219142591,4500,2019,"MM.p.uw",NA,"Eastern Africa"
1,0.402299222275159,0.0781084558743897,0.250248569958804,0.555726386719175,1.00068417907159,4500,2003,"MM.p.uw",NA,"Southern Africa"
2,0.394148719051,0.0710166556970157,0.256757522399657,0.533618978832928,1.00082300204529,4500,2004,"MM.p.uw",NA,"Southern Africa"
3,0.528968640136081,0.0676235149540995,0.394416406122803,0.653792551025711,1.00311572976747,820,2005,"MM.p.uw",NA,"Southern Africa"
4,0.379853262600975,0.0762839841911207,0.232221219932319,0.525029837237911,1.00117296540576,3900,2006,"MM.p.uw",NA,"Southern Africa"
5,0.370867225571922,0.0657008864427569,0.245919435563503,0.498898991901125,1.00210190640271,1700,2007,"MM.p.uw",NA,"Southern Africa"
6,0.414422211100194,0.0686702766806226,0.282401633622906,0.546579369449566,1.00192233177417,1600,2008,"MM.p.uw",NA,"Southern Africa"
7,0.396014848537168,0.0632470982729857,0.273363204588117,0.518251950823317,1.00744073075974,300,2009,"MM.p.uw",NA,"Southern Africa"
8,0.476286032480172,0.0596175497977186,0.355665783083266,0.591613380708697,1.0014608465648,2500,2010,"MM.p.uw",NA,"Southern Africa"
9,0.590393826345586,0.0545035196400209,0.477729378076238,0.68993324259137,1.00192992054606,1600,2011,"MM.p.uw",NA,"Southern Africa"
10,0.515807189105475,0.0556028418670348,0.40332980578012,0.61926889260425,1.00431501444523,550,2012,"MM.p.uw",NA,"Southern Africa"
11,0.454670451746045,0.0564317873996486,0.345269369441837,0.56415716602339,1.00067706315259,4500,2013,"MM.p.uw",NA,"Southern Africa"
12,0.490522220712806,0.0557872843415017,0.379713844898024,0.596339464975671,1.00096889653035,4500,2014,"MM.p.uw",NA,"Southern Africa"
13,0.528452789262579,0.0485665921938264,0.429687166766594,0.621058755942536,1.00247650900885,1100,2015,"MM.p.uw",NA,"Southern Africa"
14,0.51739364609181,0.0459251134747538,0.427122972437504,0.605457499603276,1.00078052919269,4500,2016,"MM.p.uw",NA,"Southern Africa"
15,0.500523919665191,0.0497184800976891,0.399744091858617,0.596680054543635,1.00077079525204,4500,2017,"MM.p.uw",NA,"Southern Africa"
16,0.399909838116959,0.0264036709850163,0.350905464938293,0.455619346260694,1.00183260558071,1700,2018,"MM.p.uw",NA,"Southern Africa"
17,0.31515552160338,0.0300633652145323,0.255149248432435,0.372785118454974,1.00212630883441,1400,2019,"MM.p.uw",NA,"Southern Africa"
1,0.431956402285804,0.0997874946266125,0.241721982505307,0.62990012768222,1.00220058083469,1300,2003,"MM.p.uw",NA,"West Africa"
2,0.501690194036133,0.0835261353888846,0.34104204130015,0.661862738267861,1.00109587475739,4500,2004,"MM.p.uw",NA,"West Africa"
3,0.362988226391923,0.119309309490015,0.156189317119712,0.608976099597271,1.00091434841107,4500,2005,"MM.p.uw",NA,"West Africa"
4,0.360706860429142,0.200486192499086,0.0528064449682669,0.780846339220083,1.00166006767118,2000,2006,"MM.p.uw",NA,"West Africa"
5,0.622341758768608,0.142738942343629,0.332336023777939,0.871349284650843,1.00113339359489,4300,2007,"MM.p.uw",NA,"West Africa"
6,0.772252868443464,0.0904608665627176,0.57581051703705,0.9196109371865,1.00452657227948,520,2008,"MM.p.uw",NA,"West Africa"
7,0.766363953422068,0.0729905966947977,0.61107348235976,0.890917194560224,1.00228938568782,1200,2009,"MM.p.uw",NA,"West Africa"
8,0.31263005138453,0.102661855522326,0.135355867519369,0.528062543920975,1.0068776602818,320,2010,"MM.p.uw",NA,"West Africa"
9,0.669853407959555,0.0937695441011485,0.471959219622407,0.832423175845754,1.00089615803531,4500,2011,"MM.p.uw",NA,"West Africa"
10,0.799984024661381,0.0858340190591437,0.598891962279114,0.92888520752561,1.0025747626315,1000,2012,"MM.p.uw",NA,"West Africa"
11,0.654028163405586,0.0735069456831535,0.50331463636508,0.787874369297227,1.00352361488352,780,2013,"MM.p.uw",NA,"West Africa"
12,0.73305011782279,0.0781234546583893,0.563263062309702,0.864884789830185,1.00309115380535,1300,2014,"MM.p.uw",NA,"West Africa"
13,0.639164565465038,0.0904076215253996,0.449804076183864,0.801027247975004,1.00905836734139,240,2015,"MM.p.uw",NA,"West Africa"
14,0.844082830994961,0.0728084352262366,0.664760744663597,0.934119426492057,1.005214556749,440,2016,"MM.p.uw",NA,"West Africa"
15,0.833297152570728,0.0725837228806743,0.66461582804238,0.937966458684384,1.00125736680037,3400,2017,"MM.p.uw",NA,"West Africa"
16,0.56946102790483,0.109232257309019,0.35585895449883,0.773424800491632,1.00228977173659,1200,2018,"MM.p.uw",NA,"West Africa"
17,0.500462874131461,0.105003096137994,0.299312383553609,0.700580529417564,1.00152180197726,2300,2019,"MM.p.uw",NA,"West Africa"
1,0.534442155450677,0.0558413278816577,0.427869106219086,0.644984617755777,1.00214358321993,1400,2003,"MM.p.w",NA,"Central Africa"
2,0.631051860250313,0.0400006763812047,0.549877369467472,0.705972595284408,1.00074648287745,4500,2004,"MM.p.w",NA,"Central Africa"
3,0.389739714943531,0.0644913516810015,0.270902349808067,0.519434383703248,1.00258908195715,1000,2005,"MM.p.w",NA,"Central Africa"
4,0.451781285880025,0.135204116090983,0.224992795005218,0.704811029744689,1.00136790657156,2800,2006,"MM.p.w",NA,"Central Africa"
5,0.712957951074779,0.118627196528216,0.467056895065404,0.869531644539246,1.00231151265071,1200,2007,"MM.p.w",NA,"Central Africa"
6,0.714306629399982,0.0501991099978446,0.592329075963635,0.793210639584041,1.00191591060895,2000,2008,"MM.p.w",NA,"Central Africa"
7,0.704330132948225,0.104407934082459,0.48447689345968,0.872543513873878,1.00074071383098,4500,2009,"MM.p.w",NA,"Central Africa"
8,0.72952836804042,0.0812096073815266,0.569030289988002,0.845377603240514,1.00110404441131,4500,2010,"MM.p.w",NA,"Central Africa"
9,0.829439771873229,0.0270374428015282,0.770124987855835,0.878064881158704,1.00530544272755,430,2011,"MM.p.w",NA,"Central Africa"
10,0.86301766671383,0.0290752362393986,0.797008371376187,0.911409910690002,1.00453485029751,620,2012,"MM.p.w",NA,"Central Africa"
11,0.698454059515104,0.0614395251928714,0.534055997638276,0.77763429629646,1.00085012637443,4500,2013,"MM.p.w",NA,"Central Africa"
12,0.830759159305373,0.0244453832501651,0.771228331699142,0.869242251339787,1.00831111167901,280,2014,"MM.p.w",NA,"Central Africa"
13,0.832149575309851,0.0385816392671253,0.749254272106061,0.895698800677083,1.00128648130134,3200,2015,"MM.p.w",NA,"Central Africa"
14,0.769473371126912,0.0391543029498218,0.677242502525166,0.838222412921754,1.00170095710596,4500,2016,"MM.p.w",NA,"Central Africa"
15,0.741732020530476,0.039789608264034,0.641520788749655,0.802803970781877,1.00200669005919,1500,2017,"MM.p.w",NA,"Central Africa"
16,0.769949114438256,0.0376164035159253,0.674779058687472,0.826376883713691,1.00499496431993,660,2018,"MM.p.w",NA,"Central Africa"
17,0.693900528359119,0.0502973214734814,0.571201824088786,0.773266907241654,1.00103665598081,4500,2019,"MM.p.w",NA,"Central Africa"
