"MIKEsiteID","year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source"
"ALW",1,0.102290154800392,0.0864140826271432,0.01077685785383,0.330875228587471,1.00119278700039,3800,2003,"Drop"
"ALW",2,0.0913705594920137,0.0666953740030951,0.0150842074073063,0.269131906651862,1.00069868748811,4500,2004,"Drop"
"ALW",3,0.231510490922963,0.112876631325189,0.0624724466070832,0.501857614222629,1.0010221465758,4500,2005,"Drop"
"ALW",4,0.175929858848722,0.0846305166132038,0.0552240202088502,0.380357843082611,1.00244864556376,1700,2006,"Drop"
"ALW",5,0.152041654088826,0.0776893283583059,0.0461994095494265,0.343885127511591,1.00313277851499,810,2007,"Drop"
"ALW",6,0.193625594841982,0.084686481992683,0.0667513786046613,0.394252269905502,1.00343911078784,720,2008,"Drop"
"ALW",7,0.212235427242307,0.0872185036679437,0.0741243440527821,0.412899421426652,1.00127776610871,3300,2009,"Drop"
"ALW",8,0.308510111260364,0.104141446929227,0.1333937661248,0.537003908735485,1.00266055673257,1000,2010,"Drop"
"ALW",9,0.137436809857056,0.0641561146551503,0.0460680609248721,0.296504799251615,1.00099541856428,4500,2011,"Drop"
"ALW",10,0.167760139309566,0.0747129555078542,0.0589483684820162,0.346698121353831,1.00272850849469,970,2012,"Drop"
"ALW",11,0.180051762674646,0.0743833949976382,0.0651921917752075,0.349264665500061,1.00274708097411,960,2013,"Drop"
"ALW",12,0.226609731423615,0.0944024519816028,0.0801716459225941,0.447402032234839,1.00151827980922,2300,2014,"Drop"
"ALW",13,0.34828387896014,0.116614885316336,0.148597227356322,0.601422178952484,1.00080963560489,4500,2015,"Drop"
"ALW",14,0.19813625735884,0.0802572359536728,0.0743427131501083,0.381047603738146,1.00091119863782,4500,2016,"Drop"
"ALW",15,0.275780035875763,0.102090385002099,0.111493616472254,0.509311671730495,1.00278932899774,940,2017,"Drop"
"ALW",16,0.166501993399574,0.132295829562892,0.0169370745976943,0.500553517704412,1.00207143968184,1400,2018,"Drop"
"ALW",17,0.141846164914701,0.125246199878742,0.0109911246846042,0.468407943659473,1.00295044191599,880,2019,"Drop"
"BBS",1,0.107535822539082,0.0917669498511434,0.0120766796862516,0.37314430026293,1.00078154855523,4500,2003,"Drop"
"BBS",2,0.0938026745923158,0.0677184894424238,0.0150264709597374,0.270006399214925,1.00150692146078,2400,2004,"Drop"
"BBS",3,0.23882841703765,0.117615228329916,0.0673958418583545,0.515453550447475,1.0013426469386,3000,2005,"Drop"
"BBS",4,0.201150703165024,0.0908704569232987,0.0657286984768615,0.415155490999403,1.00278965480037,940,2006,"Drop"
"BBS",5,0.133790598020119,0.0720222967590161,0.0351331173129211,0.316119533529092,1.01291333346992,180,2007,"Drop"
